"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::A failed authorization cannot be authorized.","Een mislukte autorisatie kan niet worden geautoriseerd."
"Customweb_UnzerCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Sommige betaalmethoden zijn niet beschikbaar voor bepaalde landen. U kunt de tijd waarop de beschikbaarheid cheque te voeren taken. Wij adviseren om op 'Tijdens de autorisatie'."
"Customweb_UnzerCw::A refund was added over !amount.","Een terugbetaling van !amount werd toegevoegd."
"Customweb_UnzerCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Een transactie kan onveilig zijn als de betaling niet is gegarandeerd. Bijvoorbeeld, als de credit card niet tot het 3D Secure proces."
"Customweb_UnzerCw::About","About"
"Customweb_UnzerCw::Account Holder Name","Naam rekeninghouder"
"Customweb_UnzerCw::Account owner name.","Rekeninghouder naam"
"Customweb_UnzerCw::Action","Actie"
"Customweb_UnzerCw::Actions","Actions"
"Customweb_UnzerCw::Activate","Activate"
"Customweb_UnzerCw::Activate the payment methods you would like to offer.","Activate the payment methods you would like to offer."
"Customweb_UnzerCw::Active","Active"
"Customweb_UnzerCw::Additional Information","Additional Information"
"Customweb_UnzerCw::Adjust Qty","Pas de hoeveelheid"
"Customweb_UnzerCw::Adjustment Discount","Adjustment Discount"
"Customweb_UnzerCw::Adjustment Fee","Adjustment Fee"
"Customweb_UnzerCw::After payment selection","Na het selecteren van de betaalmethode"
"Customweb_UnzerCw::Ajax authorization not supported.","Ajax machtiging wordt niet ondersteund."
"Customweb_UnzerCw::Alias","Alias"
"Customweb_UnzerCw::Alias For Display","Alias ​​voor Beeldscherm"
"Customweb_UnzerCw::All Customers","All Customers"
"Customweb_UnzerCw::Allowed Currencies","Allowed Currencies"
"Customweb_UnzerCw::Allowed currencies for this payment method","Toegestane valuta voor deze betaalmethode"
"Customweb_UnzerCw::Already registered?","Already registered?"
"Customweb_UnzerCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_UnzerCw::American Express","American Express"
"Customweb_UnzerCw::Amount","Bedrag"
"Customweb_UnzerCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_UnzerCw::An unknown error occurred.","An unknown error occurred."
"Customweb_UnzerCw::An unkown error occurred.","An unkown error occurred."
"Customweb_UnzerCw::An unkown exception occurred: @message.","An unkown exception occurred: @message."
"Customweb_UnzerCw::Applied Interest Rate","Applied Interest Rate"
"Customweb_UnzerCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_UnzerCw::Author","Author"
"Customweb_UnzerCw::Authorization Amount","Autorisatie bedrag"
"Customweb_UnzerCw::Authorization Failed","Autorisatie mislukt"
"Customweb_UnzerCw::Authorization Method","Autorisatie Methode"
"Customweb_UnzerCw::Authorization is uncertain.","Autorisatie is onzeker"
"Customweb_UnzerCw::Authorize","Authorize"
"Customweb_UnzerCw::Authorized Status","Authorized Status"
"Customweb_UnzerCw::Await Notification","Await Notification"
"Customweb_UnzerCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_UnzerCw::BIC","BIC"
"Customweb_UnzerCw::Bad signature format.","Bad signature format."
"Customweb_UnzerCw::Bank Location","Bank Locatie"
"Customweb_UnzerCw::Bank Name","Bank Naam"
"Customweb_UnzerCw::Bank account number","Bankrekeningnummer"
"Customweb_UnzerCw::Bank code number","Bankcode"
"Customweb_UnzerCw::Before payment selection","Vóór het selecteren van de betaalmethode"
"Customweb_UnzerCw::Billing Address","Billing Address"
"Customweb_UnzerCw::Billing Information","Billing Information"
"Customweb_UnzerCw::Billing address","Factuuradres"
"Customweb_UnzerCw::Brand Name","Brand Name"
"Customweb_UnzerCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_UnzerCw::CVC","CVC"
"Customweb_UnzerCw::CVC Code","CVC Code"
"Customweb_UnzerCw::Cancel","Cancel"
"Customweb_UnzerCw::Cancel ID","Cancel ID"
"Customweb_UnzerCw::Cancel pending orders when out of stock","Lopende orders te annuleren als het item is niet langer op voorraad."
"Customweb_UnzerCw::Cancel status","Cancel status"
"Customweb_UnzerCw::Canceled UnzerCw","Canceled UnzerCw"
"Customweb_UnzerCw::Canceling of this payment not possible!","Deze betaling kan niet worden geannuleerd!"
"Customweb_UnzerCw::Cancelled @amount using id @id.","Cancelled @amount using id @id."
"Customweb_UnzerCw::Cancelled Status","Cancelled Status"
"Customweb_UnzerCw::Cancelling @amount for charge with id @id.","Cancelling @amount for charge with id @id."
"Customweb_UnzerCw::Cannot update item quantity.","Kan product hoeveelheid niet bijwerken."
"Customweb_UnzerCw::Capture Amount","Capture Amount"
"Customweb_UnzerCw::Capture ID","Capture ID"
"Customweb_UnzerCw::Capture amount","Capture bedrag"
"Customweb_UnzerCw::Capture information","Boekingsinformatie"
"Customweb_UnzerCw::Capture status","Capture status"
"Customweb_UnzerCw::Capture: Don't Close","Capture: Don't Close"
"Customweb_UnzerCw::Captured Amount","Opgenomen bedrag"
"Customweb_UnzerCw::Captured Status","Captured Status"
"Customweb_UnzerCw::Captured amount (@captured) does not equal charged amount (@charged). Please check in your Unzer backend.","Captured amount (@captured) does not equal charged amount (@charged). Please check in your Unzer backend."
"Customweb_UnzerCw::Captures","Captures"
"Customweb_UnzerCw::Captures & Refunds","Captures & Refunds"
"Customweb_UnzerCw::Capturing","Boeking"
"Customweb_UnzerCw::Card 3Ds","Card 3Ds"
"Customweb_UnzerCw::Card Brand","Card Brand"
"Customweb_UnzerCw::Card Expiration","Kaart vervaldatum"
"Customweb_UnzerCw::Card Expiry","Card Expiry"
"Customweb_UnzerCw::Card Holder Name","Kaarthouder"
"Customweb_UnzerCw::Card Number","Kaartnummer"
"Customweb_UnzerCw::Carrier Title","Carrier Title"
"Customweb_UnzerCw::Charge @id for @amount received and processed.","Charge @id for @amount received and processed."
"Customweb_UnzerCw::Charge @id over @amount was created.","Charge @id over @amount was created."
"Customweb_UnzerCw::Charge ID","Charge ID"
"Customweb_UnzerCw::Check out faster","Check out faster"
"Customweb_UnzerCw::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_UnzerCw::Checkout","Checkout"
"Customweb_UnzerCw::Checkout as Guest","Checkout as Guest"
"Customweb_UnzerCw::Checkout as a Guest or Register","Checkout as a Guest or Register"
"Customweb_UnzerCw::Checkout as a new customer","Checkout as a new customer"
"Customweb_UnzerCw::Checkout using your account","Checkout using your account"
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Customweb_UnzerCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Selecteer 'Creatie na de bestelling' als u wilt dat een factuur wordt gecreëerd. De status van de bestelling is gebaseerd op de boeken van de status. Voor vastgelegde betalingen wordt altijd een factuur aangemaakt."
"Customweb_UnzerCw::Code: '@code'","Code: '@code'"
"Customweb_UnzerCw::Commercial Register Number","Commercial Register Number"
"Customweb_UnzerCw::Commercial Sector","Commercial Sector"
"Customweb_UnzerCw::Company Commercial Number","Company Commerciële Nummer"
"Customweb_UnzerCw::Confirm Password","Confirm Password"
"Customweb_UnzerCw::Continue","Voortzetten"
"Customweb_UnzerCw::Could not convert object of type '!type' to string.","Kan niet converteren object van het type '!type' naar een string."
"Customweb_UnzerCw::Could not find a brand for the given card number.","Kan een merk voor de opgegeven kaartnummer niet vinden."
"Customweb_UnzerCw::Could not find pressed button.","Kon ingedrukte knop niet vinden."
"Customweb_UnzerCw::Could not find template file at default location '!location'.","Kan template bestand niet vinden op standaard locatie '!location'."
"Customweb_UnzerCw::Could not find the payment method !paymentMethodName.","Kan de betaalmethode !paymentMethodName niet vinden."
"Customweb_UnzerCw::Could not load layout from URL !url. Reason: !reason","Kon layout niet laden van URL !url. Reden: !reason"
"Customweb_UnzerCw::Create Account","Create Account"
"Customweb_UnzerCw::Create New Order - Payment","Create New Order - Payment"
"Customweb_UnzerCw::Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Customweb_UnzerCw::Created type is not recurring.","Created type is not recurring."
"Customweb_UnzerCw::Creating an account has many benefits:","Creating an account has many benefits:"
"Customweb_UnzerCw::Creating new charge failed: @message.","Creating new charge failed: @message."
"Customweb_UnzerCw::Creation Date","Creation Date"
"Customweb_UnzerCw::Credit Card Brands","Credit Card Brands"
"Customweb_UnzerCw::Credit Memo History","Credit Memo History"
"Customweb_UnzerCw::Credit Memo Totals","Credit Memo Totals"
"Customweb_UnzerCw::Credit memo's total must be positive.","Did you mean: Credit memos total must be positive.Totale creditnota's moet positief zijn."
"Customweb_UnzerCw::Currency","Valuta"
"Customweb_UnzerCw::Current Configuration Scope:","Huidige omvang van de configuratie:"
"Customweb_UnzerCw::Customer Account","Customer Account"
"Customweb_UnzerCw::Customer Alias Management","Customer Alias Management"
"Customweb_UnzerCw::Customer successfully returned from UnzerCw","De cliënt heeft met succes teruggekeerd van UnzerCw."
"Customweb_UnzerCw::Customer successfully returned from Unzer","Klant met succes terug uit Unzer"
"Customweb_UnzerCw::Customer sucessfully returned from the UnzerCw payment page.","Customer sucessfully returned from the UnzerCw payment page."
"Customweb_UnzerCw::Customers","Customers"
"Customweb_UnzerCw::Customweb","Customweb"
"Customweb_UnzerCw::Date","Datum"
"Customweb_UnzerCw::Date of Birth","Geboortedatum"
"Customweb_UnzerCw::Day","Dag"
"Customweb_UnzerCw::Deactivate","Deactivate"
"Customweb_UnzerCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest."
"Customweb_UnzerCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_UnzerCw::Default Config","Standaardconfiguratie"
"Customweb_UnzerCw::Deferred (authorization)","Deferred (authorization)"
"Customweb_UnzerCw::Deferred capturing","De vertraagde boeking"
"Customweb_UnzerCw::Deferred settlement","Vertraagde creatie"
"Customweb_UnzerCw::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_UnzerCw::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_UnzerCw::Delayed","Vertraagd"
"Customweb_UnzerCw::Delete","Verwijder"
"Customweb_UnzerCw::Delivery address","Afleveradres"
"Customweb_UnzerCw::Description","Beschrijving"
"Customweb_UnzerCw::Diners Club","Diners Club"
"Customweb_UnzerCw::Direct Charge","Direct Charge"
"Customweb_UnzerCw::Direct Debits","Direct Debits"
"Customweb_UnzerCw::Direct E-Banking","Direct E-Banking"
"Customweb_UnzerCw::Direct capture after order","Directe boeking"
"Customweb_UnzerCw::Directly after order (sale)","Directly after order (sale)"
"Customweb_UnzerCw::Disabled","Invalide"
"Customweb_UnzerCw::Discount","Discount"
"Customweb_UnzerCw::Discount Amount","Bedrag van de korting"
"Customweb_UnzerCw::Do not send","Do not send"
"Customweb_UnzerCw::Don't change order status","Don't change order status"
"Customweb_UnzerCw::During authorization","Tijdens de autorisatie"
"Customweb_UnzerCw::Edit","Bewerken"
"Customweb_UnzerCw::Edit Invoice %s","Edit Invoice %s"
"Customweb_UnzerCw::Either enter your commercial register number, or all other fields which are displayed.","Either enter your commercial register number, or all other fields which are displayed."
"Customweb_UnzerCw::Element Size","Element Size"
"Customweb_UnzerCw::Email","Email"
"Customweb_UnzerCw::Email Address","Email Address"
"Customweb_UnzerCw::Empty version number field name","Empty version number field name"
"Customweb_UnzerCw::Enable or disable logging.","Enable or disable logging."
"Customweb_UnzerCw::Enable the payment method","Betaalmethode inschakelen"
"Customweb_UnzerCw::Enabled","Ingeschakeld"
"Customweb_UnzerCw::Enter the date on which your card expires.","Voer de vervaldatum van de kaart"
"Customweb_UnzerCw::Enter the public and private key received from Unzer.","Enter the public and private key received from Unzer."
"Customweb_UnzerCw::Enter the sector your company operates in, e.g. finance.","Enter the sector your company operates in, e.g. finance."
"Customweb_UnzerCw::Enter your email address.","Enter your email address."
"Customweb_UnzerCw::Enter your preferred salutation.","Enter your preferred salutation."
"Customweb_UnzerCw::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_UnzerCw::Excl. Tax","Excl. belasting"
"Customweb_UnzerCw::Expiry Date","Expiry Date"
"Customweb_UnzerCw::External Checkout","External Checkout"
"Customweb_UnzerCw::External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Customweb_UnzerCw::Failed","Mislukt"
"Customweb_UnzerCw::Failed payment authorization.","Mislukte betaling toestemming."
"Customweb_UnzerCw::Figure !number:","Figure !number:"
"Customweb_UnzerCw::Forgot Your Password?","Forgot Your Password?"
"Customweb_UnzerCw::Forgot your password?","Forgot your password?"
"Customweb_UnzerCw::Get Update","Get Update"
"Customweb_UnzerCw::Here you can configure the merchant name which is displayed as part of the mandate text.","Here you can configure the merchant name which is displayed as part of the mandate text."
"Customweb_UnzerCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_UnzerCw::Here you can set a schema for the invoiceId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the invoiceId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Here you can set a schema for the orderId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the orderId parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Here you can set a schema for the paymentReference parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique.","Here you can set a schema for the paymentReference parameter transmitted to identify the payment. If left empty it is not transmitted. The following placeholders can be used: {oid} for the order id, which may not be unique or set; {tid} for the sellxed transaction id which is a unique number, or {id} which contains the order id and is guaranteed to be unique."
"Customweb_UnzerCw::Hide","Hide"
"Customweb_UnzerCw::How should elements from Unzer be loaded? With narrow elements the element label is displayed by the store, with wide elements it is loaded via javascript by Unzer. The input elements are always loaded from Unzer.","How should elements from Unzer be loaded? With narrow elements the element label is displayed by the store, with wide elements it is loaded via javascript by Unzer. The input elements are always loaded from Unzer."
"Customweb_UnzerCw::IBAN","IBAN"
"Customweb_UnzerCw::IBAN number","IBAN-nummer"
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Als er slechts een product op voorraad is en de betaling van de klant (de exacte koopt dit product) faalt, zolang het product wordt gereserveerd tot de bestelling wordt geannuleerd (zie Time-out optie). Schakel deze optie in als u NIET wilt dat het product zal worden gereserveerd. Bestellingen met een mislukte of afgebroken status van de betaling wordt meteen geannuleerd."
"Customweb_UnzerCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled."
"Customweb_UnzerCw::If it is not applicable leave the field empty.","Als het niet van toepassing laat het veld leeg."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden geannuleerd."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden vastgelegd."
"Customweb_UnzerCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden terugbetaald."
"Customweb_UnzerCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_UnzerCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_UnzerCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_UnzerCw::Image Brand Selection","Image Brand Selection"
"Customweb_UnzerCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"Customweb_UnzerCw::In some cases payment methods may use separate keys. If this is the case, add the keys found in the Unzer backend to the payment method configuration in your store.","In some cases payment methods may use separate keys. If this is the case, add the keys found in the Unzer backend to the payment method configuration in your store."
"Customweb_UnzerCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Customweb_UnzerCw::Inactive","Inactive"
"Customweb_UnzerCw::Incl. Tax","Incl. belasting"
"Customweb_UnzerCw::Information","Information"
"Customweb_UnzerCw::Invalid login or password.","Invalid login or password."
"Customweb_UnzerCw::Invoice Items","Factuur items"
"Customweb_UnzerCw::Invoice Settlement","Invoice Settlement"
"Customweb_UnzerCw::Invoice Totals","Factuurtotalen"
"Customweb_UnzerCw::Invoice settlement","Creatie van de rekening"
"Customweb_UnzerCw::Invoice was created successfully","Het rekening is gemaakt met goed gevolg"
"Customweb_UnzerCw::InvoiceID Schema","InvoiceID Schema"
"Customweb_UnzerCw::Invoices","Facturen"
"Customweb_UnzerCw::Issue Number","Albumreeks"
"Customweb_UnzerCw::Issuer","Issuer"
"Customweb_UnzerCw::It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Customweb_UnzerCw::Item","Item"
"Customweb_UnzerCw::Items","Items"
"Customweb_UnzerCw::Items Refunded","Items Refunded"
"Customweb_UnzerCw::JCB","JCB"
"Customweb_UnzerCw::Live","Live"
"Customweb_UnzerCw::Live HMAC Key","Live HMAC Key"
"Customweb_UnzerCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_UnzerCw::Live Mode","Live Mode"
"Customweb_UnzerCw::Live Password","Live Password"
"Customweb_UnzerCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_UnzerCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_UnzerCw::Logging","Logging"
"Customweb_UnzerCw::Login","Login"
"Customweb_UnzerCw::Login & Register","Login & Register"
"Customweb_UnzerCw::Login and password are required.","Login and password are required."
"Customweb_UnzerCw::Mail order/telephone order authorization","Postorder / telefonische bestellingen machtiging"
"Customweb_UnzerCw::Manage Stores","Beheer winkels"
"Customweb_UnzerCw::Manage Unzer Aliases","Manage Unzer Aliases"
"Customweb_UnzerCw::Mandate","Mandate"
"Customweb_UnzerCw::MasterCard","MasterCard"
"Customweb_UnzerCw::Maximum Order Total","Maximum Bestel Total"
"Customweb_UnzerCw::Merchant name","Merchant name"
"Customweb_UnzerCw::Message","Bericht"
"Customweb_UnzerCw::Method Title","Method Title"
"Customweb_UnzerCw::Minimum Order Total","Minimum Bestel Total"
"Customweb_UnzerCw::Month","Maand"
"Customweb_UnzerCw::Mr","Mr"
"Customweb_UnzerCw::Mrs","Mrs"
"Customweb_UnzerCw::My Unzer Aliases","My Unzer Aliases"
"Customweb_UnzerCw::Narrow (label from shop)","Narrow (label from shop)"
"Customweb_UnzerCw::New Order","New Order"
"Customweb_UnzerCw::New Order Status","Niewe bestelstatus"
"Customweb_UnzerCw::New card","New card"
"Customweb_UnzerCw::Next Update Execution Date","Next Update Execution Date"
"Customweb_UnzerCw::No","Geen"
"Customweb_UnzerCw::No Items","No Items"
"Customweb_UnzerCw::No additional payment information available.","Geen extra betaling informatie beschikbaar"
"Customweb_UnzerCw::No authorization method found for payment method !method.","Geen vergunning methode gevonden voor de betalingswijze"
"Customweb_UnzerCw::No button returned.","Geen knop terug."
"Customweb_UnzerCw::No refund possible.","Geen terugbetaling mogelijk"
"Customweb_UnzerCw::No shipping method needed.","No shipping method needed."
"Customweb_UnzerCw::No, use the dropdown.","No, use the dropdown."
"Customweb_UnzerCw::Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Customweb_UnzerCw::Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Customweb_UnzerCw::Only authorized transaction can be cancelled.","Alleen geautoriseerde transacties kan worden geannuleerd."
"Customweb_UnzerCw::Only authorized transaction can be captured.","Alleen geautoriseerde transacties kunnen worden geregistreerd"
"Customweb_UnzerCw::Only authorized transaction can be refunded.","Alleen geautoriseerde transacties kunnen worden bijgeschreven."
"Customweb_UnzerCw::Only captured transaction can be refunded.","Alleen opgenomen transacties kunnen worden bijgeschreven."
"Customweb_UnzerCw::Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Customweb_UnzerCw::Operation Mode","Operation Mode"
"Customweb_UnzerCw::Operation mode of the shop.","Operation mode of the shop."
"Customweb_UnzerCw::Order #","Order #"
"Customweb_UnzerCw::Order Grand Total","Bestel Grand Total"
"Customweb_UnzerCw::Order Information","Order Information"
"Customweb_UnzerCw::Order Prefix","Order Prefix"
"Customweb_UnzerCw::Order Review","Order Review"
"Customweb_UnzerCw::Order Summary","Order Summary"
"Customweb_UnzerCw::Order Total","Order Total"
"Customweb_UnzerCw::Order cancelled, because the customer was too long in the payment process of Unzer.","De bestelling is geannuleerd omdat de klant was te lang gevestigd in het betalingsproces van Unzer."
"Customweb_UnzerCw::Order was placed using %s","Order was placed using %s"
"Customweb_UnzerCw::OrderId Schema","OrderId Schema"
"Customweb_UnzerCw::Orders","Orders"
"Customweb_UnzerCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellingen waarvan de betaling is in behandeling langer dan de gedefinieerde time-out in minuten automatisch geannuleerd. Om deze functie moet je setup Magento cron gebruiken."
"Customweb_UnzerCw::Paid Amount","Betaalde bedrag"
"Customweb_UnzerCw::Partial refund not possible. You may retry with the total transaction amount.","Gedeeltelijke terugbetaling is niet mogelijk. Het bedrag hoger is dan het totale bedrag."
"Customweb_UnzerCw::Password","Password"
"Customweb_UnzerCw::Password and password confirmation are not equal.","Password and password confirmation are not equal."
